week,start_date,end_date,student_id,cars_accuracy,sciences_accuracy,class_accuracy,completed_lessons,total_completed_passages_discrete_sets,score_trends_on_completed_dailies,num_attended_large_session,num_scheduled_large_session,num_attended_small_session,num_scheduled_small_session,class_participation,homework_participation
1,9/2/24,9/8/24,1,,,,1,0,0,,,,,,
1,9/2/24,9/8/24,2,,,,8,0,0,,,,,,
1,9/2/24,9/8/24,3,,,,1,0,0,,,,,,
1,9/2/24,9/8/24,4,,,,4,0,0,,,,,,
1,9/2/24,9/8/24,5,,,,1,0,0,,,,,,
1,9/2/24,9/8/24,6,,,,5,0,0,,,,,,
1,9/2/24,9/8/24,7,,,,1,0,0,,,,,,
1,9/2/24,9/8/24,8,,,,1,0,0,,,,,,
1,9/2/24,9/8/24,9,,,,1,0,0,,,,,,
1,9/2/24,9/8/24,10,,,,3,0,0,,,,,,
1,9/2/24,9/8/24,11,,,,1,0,0,,,,,,
1,9/2/24,9/8/24,12,,0.33,,2,3,0,,,,,,
1,9/2/24,9/8/24,13,,,,2,0,0,,,,,,
1,9/2/24,9/8/24,14,,,,1,0,0,,,,,,
1,9/2/24,9/8/24,15,,,,1,0,0,,,,,,
1,9/2/24,9/8/24,16,,,,1,0,0,,,,,,
2,9/9/24,9/15/24,1,,,,2,0,0,,,,,,
2,9/9/24,9/15/24,2,,,,1,0,0,,,,,,
2,9/9/24,9/15/24,3,,,,1,0,0,,,,,,
2,9/9/24,9/15/24,4,,,,1,0,0,,,,,,
2,9/9/24,9/15/24,5,,,,1,0,0,,,,,,
2,9/9/24,9/15/24,6,,,,1,0,0,,,,,,
2,9/9/24,9/15/24,7,,,,1,0,0,,,,,,
2,9/9/24,9/15/24,8,,0.52,,6,3,0.52,,,,,,
2,9/9/24,9/15/24,9,,,,1,0,0,,,,,,
2,9/9/24,9/15/24,10,,,,1,0,0,,,,,,
2,9/9/24,9/15/24,11,,,,1,0,0,,,,,,
2,9/9/24,9/15/24,12,,0.67,,1,2,0.66,,,,,,
2,9/9/24,9/15/24,13,,,,1,0,0,,,,,,
2,9/9/24,9/15/24,14,,,,1,0,0,,,,,,
2,9/9/24,9/15/24,15,,,,1,0,0,,,,,,
2,9/9/24,9/15/24,16,,,,1,0,0,,,,,,
3,9/16/24,9/22/24,1,,0.84,,5,1,0.84,,,,,,
3,9/16/24,9/22/24,2,,,,3,0,0,,,,,,
3,9/16/24,9/22/24,3,,,,1,0,0,,,,,,
3,9/16/24,9/22/24,4,,,,1,0,0,,,,,,
3,9/16/24,9/22/24,5,,,,1,0,0,,,,,,
3,9/16/24,9/22/24,6,,0.76,,1,2,0.76,,,,,,
3,9/16/24,9/22/24,7,,,,1,0,0,,,,,,
3,9/16/24,9/22/24,8,,,,1,0,0,,,,,,
3,9/16/24,9/22/24,9,,,,1,0,0,,,,,,
3,9/16/24,9/22/24,10,,0.44,,1,1,0,,,,,,
3,9/16/24,9/22/24,11,,,,1,0,0,,,,,,
3,9/16/24,9/22/24,12,,,,1,3,0,,,,,,
3,9/16/24,9/22/24,13,,0.56,,2,1,0,,,,,,
3,9/16/24,9/22/24,14,,,,1,0,0,,,,,,
3,9/16/24,9/22/24,15,,,,1,0,0,,,,,,
3,9/16/24,9/22/24,16,,,,1,0,0,,,,,,
4,9/23/24,9/29/24,1,,,,1,0,0,,,,,,
4,9/23/24,9/29/24,2,,,,16,0,0,,,,,,
4,9/23/24,9/29/24,3,,,,1,0,0,,,,,,
4,9/23/24,9/29/24,4,,,,1,0,0,,,,,,
4,9/23/24,9/29/24,5,,,,1,0,0,,,,,,
4,9/23/24,9/29/24,6,,0.79,,3,3,0.79,,,,,,
4,9/23/24,9/29/24,7,,,,1,0,0,,,,,,
4,9/23/24,9/29/24,8,,,,1,0,0,,,,,,
4,9/23/24,9/29/24,9,,,,1,0,0,,,,,,
4,9/23/24,9/29/24,10,,0.52,,1,3,0,,,,,,
4,9/23/24,9/29/24,11,,0.43,,5,2,0.43,,,,,,
4,9/23/24,9/29/24,12,,0.6,,1,1,0.64,,,,,,
4,9/23/24,9/29/24,13,,0.48,,1,1,0.56,,,,,,
4,9/23/24,9/29/24,14,,,,1,0,0,,,,,,
4,9/23/24,9/29/24,15,,,,1,0,0,,,,,,
4,9/23/24,9/29/24,16,,,,1,0,0,,,,,,
5,9/30/24,10/6/24,1,,0.3,,1,2,0.59,,,,,,
5,9/30/24,10/6/24,2,,,,1,0,0,,,,,,
5,9/30/24,10/6/24,3,,,,1,0,0,,,,,,
5,9/30/24,10/6/24,4,,,,1,0,0,,,,,,
5,9/30/24,10/6/24,5,,,,1,0,0,,,,,,
5,9/30/24,10/6/24,6,,,,1,0,0,,,,,,
5,9/30/24,10/6/24,7,,,,1,0,0,,,,,,
5,9/30/24,10/6/24,8,,0.7,,7,1,0.7,,,,,,
5,9/30/24,10/6/24,9,,,,1,0,0,,,,,,
5,9/30/24,10/6/24,10,,,,5,1,0.5,,,,,,
5,9/30/24,10/6/24,11,,,,1,0,0,,,,,,
5,9/30/24,10/6/24,12,,0.6,,1,2,0.6,,,,,,
5,9/30/24,10/6/24,13,,0.64,,1,2,0.72,,,,,,
5,9/30/24,10/6/24,14,,,,1,0,0,,,,,,
5,9/30/24,10/6/24,15,,,,1,0,0,,,,,,
5,9/30/24,10/6/24,16,,,,1,0,0,,,,,,
6,10/7/24,10/13/24,1,,,,1,0,0,,,,,,
6,10/7/24,10/13/24,2,,,,8,0,0,,,,,,
6,10/7/24,10/13/24,3,,,,1,0,0,,,,,,
6,10/7/24,10/13/24,4,,,,1,0,0,,,,,,
6,10/7/24,10/13/24,5,,,,1,0,0,,,,,,
6,10/7/24,10/13/24,6,,,,1,0,0,,,,,,
6,10/7/24,10/13/24,7,,,,1,0,0,,,,,,
